Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52WH,52WL,VOLUME,VALUE,No of trades
13-Mar-24,EQ,884.25,885,833.3,883.55,839,844.1,849.88,"1,219.00",740.5,"4,69,662","39,91,58,165.40","35,714"
12-Mar-24,EQ,894.5,901.8,877.05,892.4,880.25,883.55,886.13,"1,219.00",740.5,"2,01,692","17,87,25,525.60","28,100"
11-Mar-24,EQ,905.2,916,888.85,906.4,890,892.4,899.17,"1,219.00",740.5,"1,71,023","15,37,79,253.25","15,724"
07-Mar-24,EQ,925.5,933.4,901.05,923.6,910.9,906.4,919.26,"1,219.00",740.5,"3,59,953","33,08,88,791.20","18,076"
06-Mar-24,EQ,940.95,942.2,917.1,936.7,928,923.6,926.15,"1,219.00",740.5,"1,67,148","15,48,04,690.75","20,539"
05-Mar-24,EQ,950,954.65,924.25,955.75,940,936.7,933.76,"1,219.00",740.5,"1,78,214","16,64,08,650.40","17,380"
04-Mar-24,EQ,961,969.6,942,958.45,954,955.75,952.11,"1,219.00",740.5,"1,63,116","15,53,04,197.95","16,230"
02-Mar-24,EQ,915.05,960,915.05,914.85,959,958.45,953,"1,219.00",690.55,"65,935","6,28,36,343.20","4,135"
01-Mar-24,EQ,927.85,928,907.5,920.8,919.85,914.85,913.36,"1,219.00",690.55,"2,92,596","26,72,44,220.05","25,937"
29-Feb-24,EQ,945.4,952.2,915.35,945.4,927,920.8,924.57,"1,219.00",690.55,"2,13,014","19,69,46,043.45","17,590"
28-Feb-24,EQ,953.35,959,941.8,953.4,945,945.4,951.87,"1,219.00",690.55,"2,88,962","27,50,53,723.75","8,969"
27-Feb-24,EQ,968.1,974.4,943.55,968.1,958,953.4,955.61,"1,219.00",690.55,"1,96,451","18,77,29,798.85","14,402"
26-Feb-24,EQ,987.95,989.3,966,980.8,967,968.1,973.44,"1,219.00",690.55,"1,07,123","10,42,77,721.05","10,877"
23-Feb-24,EQ,994.9,"1,006.00",978.3,982.2,983.7,980.8,983.55,"1,219.00",648.5,"1,50,447","14,79,72,468.05","17,021"
